additional agronomic information,bean size,breeder,cherry to green bean outturn,coffee berry borer,coffee berry disease,coffee leaf rust,contents of mucilage in the cherry,country of release,description,genetic description,leaf tip color,lineage,name,nematode,nutrition requirement,optimal altitude,planting density,quality potential at high altitude,ripening of fruit,species,stature,type,year of first production,yield potential
Anacafe 14 is drought tolerant. Anacafe 14 is not uniform; plants are not stable from one generation to the next.,Very Large,National Coffee Association of Guatemala (ANACAFÉ),High,,Susceptible,Resistant,,,"Very high yielding variety, with rust resistance and good quality at elevations above 1300 meters. Variety not uniform.",Introgressed (Catimor related),Green,(Timor Hybrid 832/1 x Caturra) x Pacamara,Anacafe 14,Susceptible,High,"Medium , High",4000-5000 plants/ha (using single-stem pruning),Good,Late,Arabica,Dwarf/Compact,,Year 2,High
"Well-adapted for smallholders because of its rare combination of being a tall variety with disease resistance and resillience (e.g., can cope with low management and adverse environmental conditions).",Very Large,"Coffee Research Foundation (now Kenya Agricultural and Livestock Research Organization, KALRO)",High,,Resistant,Tolerant,,,"A tall variety that combines high yields, tolerance to coffee leaf rust, resistance to coffee berry disease, and good cup quality.",Introgressed (Other),Green or Bronze,"Composite variety containing parentage from: SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid.",Batian,Susceptible,Medium,Low,2000-3000 plants/ha (using multiple-stem pruning),Very Good,Unknown,Arabica,Tall,,Year 2,High
None,Average,None,Average,,Susceptible,Susceptible,,,"One of the most culturally and genetically important C. arabica varieties in the world, known for excellent quality in the cup at the highest altitudes.",Bourbon-Typica group (Bourbon related),Green,Bourbon-like genetic background.,Bourbon,Susceptible,Medium,High,3000-4000 plants/ha (using single-stem pruning),Very Good,Early,Arabica,Tall,,Year 4,Medium
None,Large,Rwanda Agricultural Board (RAB),Average,,Susceptible,Susceptible,,,Vigorous and highly productive tall variety with very good cup quality. Found commonly in Rwanda and Burundi.,Bourbon-Typica group (Bourbon related),Bronze,Bourbon-like genetic background.,Bourbon Mayaguez 139,Unknown,Medium,High,2000-3000 plants/ha (using multiple-stem pruning),Very Good,Average,Arabica,Tall,,Year 3,High
None,Large,Rwanda Agricultural Board (RAB),Average,,Susceptible,Susceptible,,,"Moderate yield, good cup potential, and susceptible to major diseases. Adapted for medium altitudes. Found commonly in Rwanda and Burundi.",Bourbon-Typica group (Bourbon related),Bronze,Bourbon-like genetic background.,Bourbon Mayaguez 71,Unknown,Medium,"Medium , High",1000-2000 plants/ha (using single-stem pruning),Good,Unknown,Arabica,Tall,,Year 3,Medium
Highly adapted for commercial production in Monagas State in northeastern Venezuela.,Large,Gustavo Buonafina Parra,Average,,Susceptible,Susceptible,,,Very good cup quality with large beans. An important regional variety in Monagas state in northeastern Venezuela.,Bourbon-Typica group (Typica related),Green,A selection of the Typica variety.,Caripe,Susceptible,Medium,"Medium , High",2000-3000 plants/ha (using multiple-stem pruning),Very Good,Average,Arabica,Tall,,Year 3,Medium
"An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Large,CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE,Very High,,Susceptible,Susceptible,,,"High yielding variety, with exceptional quality at elevations above 1300 meters.",F1 hybrid (not introgressed),Bronze,"Caturra x Ethiopian wild accession ""ET41"" (CATIE collection)",Casiopea,Susceptible,High,High,4000-5000 plants/ha (using single-stem pruning),Exceptional,Average,Arabica,Dwarf/Compact,,Year 3,High
Requires careful management to maximize yield without overbearing.,Large,Cenicafe,Average,,Resistant,Resistant,,,"High yielding/Dwarf/Compact variety resistant to coffee leaf rust and coffee berry disease. Found commonly in Malawi, Zambia, and Zimbabwe.",Introgressed (Catimor related),Green,Selection of a Catimor breeding line from Colombia (Caturra x Timor Hybrid 1343),Catimor 129,Susceptible,High,High,3000-4000 plants/ha (using single-stem pruning),Good,Average,Arabica,Dwarf/Compact,,Year 2,Very High
Susceptible to Ojo de Gallo. Adapted to warmest zones and acidic soils.,Average,Instituto Salvadoreño de Investigaciones del Café (ISIC),Low,,Susceptible,Resistant,,,Adapted to warmest zones and acidic soils. High yielding.,Introgressed (Catimor related),Bronze,Timor Hybrid 832/1 x Caturra,Catisic,Susceptible,High,"Low , Medium",5000-6000 plants/ha (using single-stem pruning),Very Low,Average,Arabica,Dwarf/Compact,,Year 3,High
None,Average,"Instituto Agronômico (IAC), Brazil",Average,,Susceptible,Susceptible,,,A compact plant with high yielding potential of standard quality in Central America. Very high susceptibility to coffee leaf rust.,Bourbon-Typica group (Typica and Bourbon related),Green,Mundo Novo x Caturra,Catuai,Susceptible,High,High,5000-6000 plants/ha (using single-stem pruning),Good,Average,Arabica,Dwarf/Compact,,Year 3,Good
